다이렉트 인덱싱  체크리스트,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,투자성향,,,,,,,Factor,,,,,,,
,## 숫자가 높을수록 위험감내능력이 뛰어남,,,,,,,1=소형주 선호,1=가치주 선호,1=강세주 선호,1=재무구조 우수 선호,1=높은 배당수익률 추구,1=낮은 변동성 추구,1=이머징마켓 선호,1=high ESG rate
,투자기간,"이전 
투자경험","금융자산 
비중",연간수입원,금융이해도,"감내가능 
위험수준",나이,Size,Value,Momentum,Quality,Yield,Volatility,Emerging Market,ESG
1,2,5,2,2,2,5,4,0,0,1,1,0,0,0,0
2,2,2,4,1,3,2,3,1,0,0,0,0,0,0,0
3,3,2,1,5,3,2,5,0,1,1,0,0,1,0,0
4,3,4,3,2,4,4,5,0,0,0,1,0,0,1,1
5,1,4,5,3,2,3,4,1,0,0,0,0,0,0,0
6,1,3,1,5,3,1,5,1,1,1,1,0,0,0,1
7,2,2,3,5,4,4,3,1,1,1,1,0,0,0,0
8,2,3,4,3,2,4,4,1,1,0,1,1,1,0,1
9,1,1,5,2,4,5,3,1,0,0,1,1,1,0,1
10,4,1,1,4,3,4,2,0,1,1,0,0,0,1,0
11,2,3,2,5,1,5,4,0,1,1,1,0,0,0,1
12,4,3,4,1,5,2,5,0,0,1,1,1,0,0,0
13,4,5,3,1,2,1,3,0,0,0,0,1,1,1,0
14,3,1,5,4,3,5,3,0,0,0,1,1,0,0,1
15,5,4,2,5,3,2,2,0,1,1,1,0,1,1,0
16,5,2,2,2,4,4,3,1,1,0,0,1,0,0,0
17,3,5,1,5,1,1,1,0,0,1,0,1,0,1,1
18,5,2,3,4,1,1,3,1,1,1,1,0,0,1,0
19,3,5,3,4,5,5,1,0,0,0,1,0,1,1,0
20,5,5,4,1,5,5,2,1,0,0,0,0,1,1,1
21,3,3,2,5,4,1,1,1,0,0,0,1,0,0,1
22,4,1,3,2,1,1,2,0,1,0,1,1,0,1,0
23,5,1,3,1,1,3,2,0,1,0,0,1,0,1,0
24,5,2,1,2,2,2,4,1,1,0,1,1,1,0,0
25,4,5,4,1,3,4,3,1,0,1,0,0,1,0,1
26,4,5,4,3,5,3,5,1,0,1,1,0,1,1,1
27,4,5,4,2,1,2,4,0,1,0,1,0,1,0,1
28,3,2,5,5,3,4,5,1,1,1,0,0,0,0,0
29,4,3,2,3,5,1,4,0,1,0,1,0,0,1,0
30,3,3,1,5,1,5,3,1,1,0,0,1,1,1,0
31,5,3,3,4,5,2,3,1,0,0,0,1,0,1,0
32,3,4,5,1,2,1,2,1,1,1,0,0,1,1,0
33,2,5,3,4,4,3,4,0,0,0,1,0,0,1,1
34,2,2,5,5,3,5,3,0,0,0,0,0,0,1,1
35,5,1,4,4,2,3,2,0,0,1,0,1,0,1,1
36,2,4,3,1,2,4,2,0,1,1,0,1,0,0,0
37,2,2,4,4,3,2,4,1,0,1,0,1,0,1,0
38,2,5,3,3,4,3,5,0,0,1,0,1,0,1,0
39,5,4,2,4,5,4,2,0,0,1,1,1,1,0,1
40,1,5,5,3,5,4,2,0,0,0,1,1,0,1,1
41,4,2,1,4,5,4,5,0,0,1,0,0,0,1,0
42,1,5,3,3,2,3,5,1,0,1,1,0,1,1,0
43,3,4,4,4,2,1,5,1,0,1,1,0,1,0,1
44,4,4,2,1,4,3,2,1,0,1,0,1,0,1,0
45,4,5,2,4,5,5,4,0,0,1,0,1,0,0,0
46,3,3,5,1,1,1,4,0,1,1,1,1,1,1,1
47,4,5,4,1,4,4,2,1,1,1,1,1,0,0,0
48,3,3,3,2,5,5,5,0,1,1,1,1,0,0,1
49,3,5,2,3,2,4,4,1,1,1,1,0,0,1,1
50,3,5,3,1,5,3,4,0,1,0,0,1,1,1,1
51,1,2,3,5,3,2,1,1,1,0,0,0,0,1,0
52,3,2,1,5,5,2,4,0,1,1,1,1,0,1,1
53,5,3,4,3,1,4,1,1,0,0,1,1,0,1,0
54,4,4,3,1,4,1,3,1,0,0,0,1,0,0,1
55,4,3,1,4,4,2,4,1,0,1,1,1,0,0,0
56,2,1,1,4,2,1,2,0,1,0,0,0,0,0,1
57,5,5,2,4,1,1,3,1,0,0,1,1,0,1,0
58,1,4,5,1,2,1,5,1,0,0,0,0,1,0,0
59,2,2,2,2,1,3,1,1,0,0,1,0,1,0,0
60,2,1,5,1,1,2,3,0,1,0,0,1,0,0,1
61,5,1,2,1,2,5,3,0,0,1,0,1,1,1,0
62,5,4,1,3,2,5,3,1,1,0,0,0,0,1,1
63,3,4,2,3,5,2,4,0,0,0,0,1,1,0,1
64,2,3,4,3,1,3,2,1,1,1,1,1,1,0,1
65,4,4,4,5,5,1,1,0,0,1,0,1,0,1,0
66,2,2,4,4,5,1,1,0,1,0,0,1,1,0,1
67,5,3,3,5,1,1,1,1,1,1,0,1,0,1,1
68,2,3,4,1,4,3,4,1,1,0,1,0,1,1,0
69,2,5,5,4,2,4,3,0,1,1,0,0,1,1,1
70,1,1,2,3,3,5,3,0,0,0,1,1,1,0,0
71,1,1,4,4,1,3,4,1,1,0,0,1,1,1,1
72,4,4,5,4,4,3,4,0,1,0,1,1,0,0,0
73,4,3,4,4,1,4,2,0,0,0,0,1,1,1,0
74,2,1,4,2,4,3,5,1,1,1,0,0,0,0,1
75,1,4,3,4,4,5,3,0,1,0,0,1,0,1,1
76,3,2,1,2,5,3,2,1,1,0,0,0,1,1,0
77,5,3,2,2,4,5,2,0,1,1,0,1,1,1,1
78,4,3,1,1,3,2,2,0,1,0,1,0,0,1,0
79,2,4,3,1,4,1,5,0,0,1,1,1,0,1,0
80,1,4,1,4,2,4,2,1,0,1,0,0,1,1,0
81,3,1,4,5,1,4,4,0,1,0,1,1,1,0,1
82,5,5,1,2,2,3,2,0,0,0,1,1,1,1,0
83,3,5,4,2,5,1,3,1,0,0,1,0,0,1,1
84,3,5,1,1,1,2,3,0,0,1,0,0,1,0,0
85,5,3,3,1,4,5,4,1,0,0,0,1,1,1,0
86,5,1,4,1,1,1,1,0,0,1,0,0,0,0,0
87,1,3,4,3,3,1,3,1,0,0,1,0,1,0,0
88,2,5,2,2,4,5,1,1,0,0,1,0,1,0,0
89,5,5,4,5,4,2,1,1,0,0,1,0,0,1,0
90,1,5,3,4,2,4,2,0,1,0,1,1,0,0,0
91,1,4,5,5,5,3,2,0,1,1,1,0,0,0,1
92,1,3,4,1,1,4,2,1,1,0,1,1,1,1,1
93,5,5,2,4,5,4,2,1,0,1,0,0,1,0,0
94,4,4,4,4,1,1,5,1,1,0,0,1,1,1,0
95,4,4,3,3,4,4,2,1,0,0,0,0,0,1,0
96,1,2,1,5,3,3,4,1,1,0,1,1,0,0,0
97,1,3,3,5,3,1,5,1,0,0,0,0,0,1,0
