종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S ","2285","-5","-0.22","30","76.17",,,"947","2.41","0","0.00"
"095570","AJ네트웍스 ","4195","45","1.08","201","20.87","612","6.85","8076","0.52","270","6.44"
"006840","AK홀딩스 ","17790","-180","-1.00",,,,,"41948","0.42","200","1.12"
"054620","APS ","6390","-60","-0.93","505","12.65",,,"10864","0.59","0","0.00"
"265520","AP시스템 ","20850","350","1.71","5463","3.82","5685","3.67","17980","1.16","270","1.29"
"211270","AP위성 ","14530","-150","-1.02","287","50.63","671","21.64","5997","2.42","70","0.48"
"027410","BGF ","3655","100","2.81","247","14.80",,,"16528","0.22","110","3.01"
"282330","BGF리테일 ","132500","3100","2.40","11203","11.83","12448","10.64","55724","2.38","4100","3.09"
"126600","BGF에코머티리얼즈 ","4160","50","1.22","1053","3.95",,,"6585","0.63","100","2.40"
"138930","BNK금융지주 ","7160","-30","-0.42","2404","2.98","2440","2.93","30468","0.24","625","8.73"
"001460","BYC ","419500","500","0.12","42272","9.92",,,"825735","0.51","3000","0.72"
"001465","BYC우 ","139100","-100","-0.07",,,,,,,"3050","2.19"
"013720","CBI ","1987","-38","-1.88",,,,,"1580","1.26","0","0.00"
"083790","CG인바이츠 ","2630","-40","-1.50",,,,,"2732","0.96","0","0.00"
"001040","CJ ","90100","-3100","-3.33","6023","14.96","9432","9.55","191537","0.47","2500","2.77"
"079160","CJ CGV ","5620","0","0.00",,,,,"5510","1.02","0","0.00"
"035760","CJ ENM ","80400","6200","8.36",,,"446","180.47","171357","0.47","0","0.00"
"311690","CJ 바이오사이언스 ","15130","-60","-0.39",,,,,"7423","2.04","0","0.00"
"00104K","CJ4우(전환) ","69900","-2000","-2.78",,,,,,,"2550","3.65"
"000120","CJ대한통운 ","107200","4100","3.98","8190","13.09","10637","10.08","179031","0.60","500","0.47"
"011150","CJ씨푸드 ","2810","-35","-1.23","205","13.71",,,"2107","1.33","0","0.00"
"011155","CJ씨푸드1우 ","21200","-1350","-5.99",,,,,,,"0","0.00"
"001045","CJ우 ","49100","-300","-0.61",,,,,,,"2550","5.19"
"097950","CJ제일제당 ","315500","-2500","-0.79","37188","8.48","32823","9.61","459670","0.69","5500","1.74"
"097955","CJ제일제당 우 ","132600","-1500","-1.12",,,,,,,"5550","4.19"
"051500","CJ프레시웨이 ","24100","100","0.42","4136","5.83","5331","4.52","25929","0.93","350","1.45"
"058820","CMG제약 ","2180","35","1.63",,,,,"1332","1.64","0","0.00"
"023460","CNH ","1806","-9","-0.50",,,,,"3404","0.53","20","1.11"
"056730","CNT85 ","1270","0","0.00","39","32.56",,,"569","2.23","0","0.00"
"000480","CR홀딩스 ","6590","30","0.46","1279","5.15",,,"21609","0.30","450","6.83"
"065770","CS ","1270","-18","-1.40",,,,,"936","1.36","0","0.00"
"083660","CSA 코스믹 ","998","-141","-12.38",,,,,"79","12.63","0","0.00"
"000590","CS홀딩스 ","59900","0","0.00","12700","4.72",,,"242997","0.25","500","0.83"
"012030","DB ","1622","-10","-0.61","30","54.07",,,"1492","1.09","0","0.00"
"404950","DB금융스팩10호 ","3180","75","2.42",,,,,,,"0","0.00"
"456440","DB금융스팩11호 ","2140","0","0.00",,,,,,,"0","0.00"
"016610","DB금융투자 ","3945","-30","-0.75",,,,,"22203","0.18","170","4.31"
"005830","DB손해보험 ","81500","-700","-0.85","16373","4.98","28896","2.82","89508","0.91","4600","5.64"
"000990","DB하이텍 ","58100","-2400","-3.97","12858","4.52","7727","7.52","37784","1.54","1300","2.24"
"139130","DGB금융지주 ","8410","-30","-0.36","2266","3.71","2949","2.85","31812","0.26","650","7.73"
"060900","DGP ","1680","-70","-4.00",,,,,"1740","0.97","0","0.00"
"025440","DH오토웨어 ","2315","20","0.87",,,,,"2195","1.05","0","0.00"
"001530","DI동일 ","30800","-900","-2.84","2803","10.99","1039","29.66","31182","0.99","250","0.81"
"000210","DL ","47500","-800","-1.66","2679","17.73","6134","7.74","194062","0.24","1000","2.11"
"001880","DL건설 ","13440","-20","-0.15","2445","5.50","3129","4.30","45294","0.30","250","1.86"
"000215","DL우 ","23050","50","0.22",,,,,,,"1050","4.56"
"375500","DL이앤씨 ","37950","-250","-0.65","10130","3.75","8366","4.54","114397","0.33","1000","2.64"
"37550L","DL이앤씨2우(전환) ","24500","-50","-0.20",,,,,,,"1000","4.08"
"37550K","DL이앤씨우 ","19000","10","0.05",,,,,,,"1050","5.53"
"068790","DMS ","6470","170","2.70","1053","6.14","1181","5.48","12373","0.52","125","1.93"
"007340","DN오토모티브 ","68600","-1700","-2.42","20987","3.27",,,"101507","0.68","2500","3.64"
"004840","DRB동일 ","5700","100","1.79","80","71.25",,,"18971","0.30","40","0.70"
"241520","DSC인베스트먼트 ","2840","105","3.84","573","4.96",,,"3364","0.84","0","0.00"
"065150","DSEN ","275","-7","-2.48",,,,,"262","1.05","0","0.00"
"155660","DSR ","4410","-40","-0.90","1502","2.94",,,"12480","0.35","60","1.36"
"069730","DSR제강 ","4260","0","0.00","2009","2.12",,,"12715","0.34","60","1.41"
"180400","DXVX ","5900","-50","-0.84",,,,,"1184","4.98","0","0.00"
"017940","E1 ","61000","-700","-1.13","24536","2.49","26528","2.30","249560","0.24","3600","5.90"
"245620","EDGC ","508","-12","-2.31",,,,,"350","1.45","0","0.00"
"037370","EG ","10660","-250","-2.29",,,,,"7337","1.45","0","0.00"
"050120","ES큐브 ","3015","5","0.17","1918","1.57",,,"8242","0.37","0","0.00"
"383220","F&F ","84700","-1200","-1.40","11571","7.32","13588","6.23","24159","3.51","1600","1.89"
"007700","F&F홀딩스 ","15520","-140","-0.89","3384","4.59",,,"52493","0.30","350","2.26"
"214270","FSN ","2395","250","11.66",,,,,"3566","0.67","0","0.00"
"130500","GH신소재 ","2810","-55","-1.92","337","8.34",,,"5072","0.55","0","0.00"
"114090","GKL ","13200","-420","-3.08",,,"1309","10.08","6183","2.13","0","0.00"
"078930","GS ","42400","-800","-1.85","22634","1.87","13408","3.16","133899","0.32","2500","5.90"
"083450","GST ","23800","-200","-0.83","5243","4.54",,,"21654","1.10","300","1.26"
"006360","GS건설 ","16000","-810","-4.82","3997","4.00","2329","6.87","56917","0.28","1300","8.13"
"001250","GS글로벌 ","2560","35","1.39","851","3.01",,,"4813","0.53","0","0.00"
"007070","GS리테일 ","24200","-650","-2.62","395","61.27","2540","9.53","39627","0.61","430","1.78"
"078935","GS우 ","35800","-250","-0.69",,,,,,,"2550","7.12"
"297890","HB솔루션 ","4465","40","0.90","653","6.84",,,"2190","2.04","150","3.36"
"078150","HB테크놀러지 ","2300","-10","-0.43","358","6.42",,,"2744","0.84","20","0.87"
"012630","HDC ","6830","-160","-2.29",,,,,"44094","0.15","250","3.66"
"039570","HDC랩스 ","7620","-70","-0.91","538","14.16",,,"11339","0.67","450","5.91"
"089470","HDC현대EP ","4810","10","0.21","398","12.09",,,"10618","0.45","120","2.49"
"294870","HDC현대산업개발 ","15050","-540","-3.46","764","19.70","2616","5.75","43919","0.34","600","3.99"
"009540","HD한국조선해양 ","107500","-500","-0.46",,,"10795","9.96","137382","0.78","0","0.00"
"267250","HD현대 ","61000","-500","-0.81","19933","3.06","12116","5.03","105921","0.58","4600","7.54"
"267270","HD현대건설기계 ","48550","-800","-1.62","6112","7.94","11810","4.11","80387","0.60","1750","3.60"
"322000","HD현대에너지솔루션 ","23800","100","0.42","5412","4.40","2525","9.42","34065","0.70","600","2.52"
"042670","HD현대인프라코어 ","7700","-150","-1.91","1163","6.62","1659","4.64","8273","0.93","240","3.12"
"267260","HD현대일렉트릭 ","86200","1100","1.29","4514","19.10","7081","12.17","22854","3.77","500","0.58"
"329180","HD현대중공업 ","122700","-2300","-1.84",,,"5114","23.99","59566","2.06","0","0.00"
"097230","HJ중공업 ","4000","-145","-3.50",,,,,"4624","0.87","0","0.00"
"195940","HK이노엔 ","40100","50","0.12","1342","29.88","2344","17.11","41095","0.98","320","0.80"
"014790","HL D&I ","2130","-25","-1.16","300","7.10","623","3.42","11284","0.19","0","0.00"
"028300","HLB ","31950","-600","-1.84",,,,,"5023","6.36","0","0.00"
"003580","HLB글로벌 ","3840","-50","-1.29",,,,,"1507","2.55","0","0.00"
"278650","HLB바이오스텝 ","2585","-20","-0.77",,,,,"968","2.67","0","0.00"
"067630","HLB생명과학 ","9590","-150","-1.54",,,,,"2314","4.14","0","0.00"
"024850","HLB이노베이션 ","2515","-25","-0.98","333","7.55",,,"864","2.91","0","0.00"
"047920","HLB제약 ","12440","-260","-2.05",,,,,"3083","4.04","0","0.00"
"115450","HLB테라퓨틱스 ","3800","-100","-2.56",,,,,"1793","2.12","0","0.00"
"046210","HLB파나진 ","3450","30","0.88","70","49.29",,,"986","3.50","0","0.00"
"204320","HL만도 ","36400","-100","-0.27","2096","17.37","5285","6.89","45998","0.79","500","1.37"
