종목명,PC1,PC2,한글 종목약명,영문 종목명
AJ네트웍스,-0.04302940277096356,0.028942415455584156,AJ네트웍스,"AJ Networks Co.,Ltd."
AK홀딩스,-0.02563613447039071,-0.014151184626847113,AK홀딩스,"AK Holdings, Inc."
BGF,-0.04278515951387492,0.06608728271634365,BGF,BGF
BGF리테일,0.13339229306634437,0.05350640877594859,BGF리테일,BGF Retail
BNK금융지주,-0.03935384381521037,0.0037615334875939427,BNK금융지주,BNK Financial Group Inc.
BYC,0.5238716623128601,-0.0009983472150165956,BYC,BYC
BYC우,0.14059207079331906,0.0018034893445254855,BYC우,BYC(1P)
CJ,0.07231440425900414,-0.06261186131585388,CJ,CJ Corp.
CJ CGV,-0.04164689839989284,0.01004153462216863,CJ CGV,CJ CGV
CJ4우(전환),0.04456518318137601,-0.05175831178575265,CJ4우(전환),CJ(4PC)
CJ대한통운,0.09973850284417855,0.08666951286696728,CJ대한통운,CJ LOGISTICS
CJ씨푸드,-0.04627009301952778,-0.017729894835663305,CJ씨푸드,CJSEAFOODCORPORATION
CJ씨푸드1우,-0.023849143741546355,-0.11611869421942564,CJ씨푸드1우,CJSEAFOODCORPORATION(1P)
CJ우,0.01733265668979674,-0.0070394804985493675,CJ우,CJ(1P)
CJ제일제당,0.3821521089865519,-0.016525227502764077,CJ제일제당,CJ CheilJedang Corp
CJ제일제당 우,0.1311468071570473,-0.019417862909875853,CJ제일제당 우,CJ CheilJedang Corp(1P)
CR홀딩스,-0.04008863613769136,0.016413569768658466,CR홀딩스,CR Holdings
CS홀딩스,0.03242430545461976,0.005141424215031458,CS홀딩스,CSHOLDINGS
DB,-0.047403125534717344,-0.0034200518344208826,DB,DB Inc.
DB금융투자,-0.04441071141886578,-0.008395167571333337,DB금융투자,"DB Financial Investment Co., LTD."
DB손해보험,0.06260117585757513,-0.010946302817863629,DB손해보험,DB INSURANCE
DB하이텍,0.02817284132970005,-0.07340814856068964,DB하이텍,"DB HiTek Co.,LTD"
DGB금융지주,-0.03784495893980409,0.002651901249766647,DGB금융지주,DGB Financial Group
DI동일,-0.008805960765897963,-0.05117337590920748,DI동일,DI DONGIL
DL,0.014738250186881177,-0.028129730555837156,DL,DL
DL건설,-0.03108238666974568,0.0033717298719749293,DL건설,DLConstruction
DL우,-0.017807055028104354,0.010504022668410565,DL우,DL(1P)
DL이앤씨,0.0023531262604503177,-0.006833734642976643,DL이앤씨,"DL E&C CO., LTD."
DL이앤씨2우(전환),-0.016060291502702367,0.0019109967263283116,DL이앤씨2우(전환),DL E&C(2PC)
DL이앤씨우,-0.02343629339029276,0.0071382270501909,DL이앤씨우,"DL E&C CO., LTD.(1P)"
DN오토모티브,0.04306716127250514,-0.04416114698266374,DN오토모티브,DN AUTOMOTIVE CORPORATION
DRB동일,-0.040605599425221066,0.04322275797718932,DRB동일,"DRB Holding Co.,Ltd"
DSR,-0.04389210416018008,-0.011790744778042218,DSR,DSR CORP
DSR제강,-0.04359447061286975,0.006620616019678055,DSR제강,DSRWIRECORP
E1,0.0333607839751678,-0.017824587219605066,E1,E1Corporation
ESR켄달스퀘어리츠,-0.04553646545029041,-0.03087508949115385,ESR켄달스퀘어리츠,ESR KENDALL SQUARE REIT
F&F,0.06615492650889143,-0.023025807152219697,F&F,F&F
F&F홀딩스,-0.028586039864307744,-0.011597001216636586,F&F홀딩스,F&F Holdings
GKL,-0.03305084162654213,-0.053244132455198816,GKL,Grand Korea Leisure
GS,0.008277625833441764,-0.03070889931858689,GS,GS Holdings
GS건설,-0.03019738235398016,-0.08579500608335301,GS건설,GS Engineering & Construction Corp
GS글로벌,-0.04517853408743007,0.038467893150103696,GS글로벌,GS Global Corp.
GS리테일,-0.017310404061602037,-0.045637080072397036,GS리테일,GS Retail
GS우,-0.0008950819191748055,-0.008351188063343487,GS우,GS Holdings(1P)
HDC,-0.041283976587950084,-0.03960443103073915,HDC,"HDC HOLDINGS CO.,Ltd"
HDC랩스,-0.03948059031941851,-0.011968561107813424,HDC랩스,HDCLABS
HDC현대EP,-0.04270160814746602,0.011203381867893594,HDC현대EP,HDC Hyundai Engineering Plastics
HDC현대산업개발,-0.030715695261639094,-0.060619787149438345,HDC현대산업개발,HYUNDAI DEVELOPMENT COMPANY
HD한국조선해양,0.09871601764668424,-0.003595734201033452,HD한국조선해양,HD KOREA SHIPBUILDING & OFFSHORE ENGINEERING
HD현대,0.034428365041486275,-0.00960410393097299,HD현대,HD HYUNDAI
HD현대건설기계,0.016148317482911012,-0.02641969638530138,HD현대건설기계,HD Hyundai Construction Equipment
HD현대에너지솔루션,-0.016624571057870734,0.01481666402136055,HD현대에너지솔루션,"HD HYUNDAI ENERGY SOLUTIONS CO.,LTD."
HD현대인프라코어,-0.03988884045573906,-0.022875721547235963,HD현대인프라코어,HD Hyundai Infracore
HD현대일렉트릭,0.06965639613056103,0.03269539220827049,HD현대일렉트릭,HD HYUNDAI ELECTRIC
HD현대중공업,0.11938039980100115,-0.032003507877329106,HD현대중공업,HD HYUNDAI HEAVY INDUSTRIES
HJ중공업,-0.045832419725928324,-0.06405816606184768,HJ중공업,HJ SHIPBUILDING & CONSTRUCTION
HL D&I,-0.04713974916076828,-0.016819912026455216,HL D&I,HL D&I HALLA CORPORATION
HLB글로벌,-0.04486513827551036,-0.019284523506814,HLB글로벌,"HLB GLOBAL Co., Ltd."
HL만도,0.0004932737591830727,0.0012717151853599193,HL만도,HL Mando
HL홀딩스,-0.004135649776106705,0.005886887934817923,HL홀딩스,HL Holdings Corporation
HMM,-0.02594191093717241,0.012359876106666898,HMM,HMM
HSD엔진,-0.03642926381769781,0.0021011399715394788,HSD엔진,HSD Engine
HS애드,-0.040658985104366954,0.006560991566062801,HS애드,HS Ad
IHQ,-0.04451241040284997,0.00656787330189653,IHQ,IHQ
JB금융지주,-0.03433217325301862,0.003099530168986493,JB금융지주,"JB Financial Group Co., Ltd."
JW생명과학,-0.03178511530324252,0.01784062732420838,JW생명과학,JW LIFESCIENCE
JW중외제약,-0.005603889234663542,0.08809664217694355,JW중외제약,JWPHARMACEUTICAL
JW중외제약2우B,0.038601911858035944,0.0509323043216157,JW중외제약2우B,JWPHARMACEUTICAL(2PB)
JW중외제약우,-0.0029983497705245777,0.0271761057236555,JW중외제약우,JWPHARMACEUTICAL(1P)
JW홀딩스,-0.043664607203561835,0.039687442106177306,JW홀딩스,JW HOLDINGS CORPORATION
KB금융,0.024663664050150424,-0.012748465053689213,KB금융,KB Financial Group
KB스타리츠,-0.04424099574508901,0.010285933516728348,KB스타리츠,KB STAR REIT
KCC,0.23581463223627414,-0.14533698268499895,KCC,KCC Corporation
KCC글라스,0.007136594026087305,0.0033230693061013774,KCC글라스,KCC GLASS Corporation
KCTC,-0.044843545307915095,-0.023834474341886416,KCTC,KCTC
KC그린홀딩스,-0.04530212742970055,-0.01211624378851883,KC그린홀딩스,KC Green Holdings
KC코트렐,-0.0478465184636484,-0.010059557617619699,KC코트렐,KC Cottrell
KEC,-0.04846180930171975,-0.02216403977095827,KEC,KEC Corporation
KG모빌리티,-0.03859568829271043,-0.010684952623164391,KG모빌리티,KG Mobility
KG스틸,-0.037990842397893985,0.008603695723063132,KG스틸,KG DONGBUSTEEL
KG케미칼,-0.038714780063982934,0.057792623747038974,KG케미칼,KG Chemical
KH 필룩스,-0.04753744268305055,0.007035661806918532,KH 필룩스,"KH FEELUX Co.,Ltd."
KIB플러그에너지,-0.048362071991501915,0.022484295212123445,KIB플러그에너지,Kib plug energy
KISCO홀딩스,-0.019759411859579575,-0.0031819765761091265,KISCO홀딩스,KISCO Holdings
KPX케미칼,0.010885983190301872,-0.0036162481478406107,KPX케미칼,KPXCHEMICAL
KPX홀딩스,0.020573515044374966,-0.014216038826818904,KPX홀딩스,KPXHOLDINGS
KR모터스,-0.0490451124225421,-0.003762686460783185,KR모터스,KR MOTORS
KSS해운,-0.03732153859134022,0.018845869516266003,KSS해운,KSS LINE
KT,-0.0024609045494600476,-0.002375757998237441,KT,KTCorporation
KT&G,0.07255141273855678,-0.03942246612748956,KT&G,KT&G Corporation
KTcs,-0.042418051316998474,0.49368635236744557,KTcs,ktcs corporation
KTis,-0.04486561596977352,0.15020259668596403,KTis,ktis Corporation
LF,-0.030096976625004466,0.017245682861874025,LF,LF
LG,0.06498218497825622,-0.012231821513474125,LG,LG Corp.
LG디스플레이,-0.03283592291705548,-0.024089108505924026,LG디스플레이,LG Display
LG생활건강,0.40345135887786787,-0.03968604286544671,LG생활건강,LG H&H
LG생활건강우,0.14679749036127948,-0.008049002256541872,LG생활건강우,LG H&H(1P)
LG에너지솔루션,0.583715228894946,0.06338293788853279,LG에너지솔루션,LG Energy Solution
LG우,0.0354112143649715,-0.001421066550756153,LG우,LG Corp.(1P)
LG유플러스,-0.034467386339161056,0.0014229437094726318,LG유플러스,LG Uplus
LG이노텍,0.27457997341231255,-0.006653656230737028,LG이노텍,LG Innotek
LG전자,0.09461200904075971,-0.012255757253500161,LG전자,LGELECTRONICS
LG전자우,0.015050670982508422,-0.015535744019271108,LG전자우,LGELECTRONICS(1P)
LG헬로비전,-0.04543301291145265,-0.016514289981601815,LG헬로비전,LG HelloVision
